rule,mark,self_buy_floor,flow_mult,max_entry_mult,trail_pct,tp_mult,hard_stop_pct,time_stop_s,loop1_triggers,loop1_wins,loop1_pnl_usd,loop1_pnl_ex_best_usd,loop1_hits_caught,loop1_misses_entered,loop1_worst_usd,loop1_median_usd,loop2_triggers,loop2_wins,loop2_pnl_usd,loop2_pnl_ex_best_usd,loop2_hits_caught,loop2_misses_entered,loop2_worst_usd,loop2_median_usd,min_ex_best,total_pnl,wr
hold,180,0.2,1.5,3,0.4,5,0.5,900,2,1,-8.65,-26.38,1,1,-26.38,-4.32,2,1,267.94,-27.2,1,1,-27.2,133.97,-27.2,259.29,0.5
hold,180,0.2,1.5,3,0.4,5,0.5,1800,2,1,-7.34,-26.38,1,1,-26.38,-3.67,2,1,267.94,-27.2,1,1,-27.2,133.97,-27.2,260.6,0.5
hold,180,0.2,1.5,3,0.5,0,0.3,900,2,1,0.32,-17.41,1,1,-17.41,0.16,2,1,383.26,-27.2,1,1,-27.2,191.63,-27.2,383.58,0.5
hold,180,0.2,1.5,3,0.5,0,0.3,1800,2,1,1.63,-17.41,1,1,-17.41,0.82,2,1,664.89,-27.2,1,1,-27.2,332.44,-27.2,666.52,0.5
hold,180,0.2,1.5,3,0.5,0,0.5,900,2,1,-8.65,-26.38,1,1,-26.38,-4.32,2,1,383.26,-27.2,1,1,-27.2,191.63,-27.2,374.61,0.5
hold,180,0.2,1.5,3,0.5,0,0.5,1800,2,1,-7.34,-26.38,1,1,-26.38,-3.67,2,1,664.89,-27.2,1,1,-27.2,332.44,-27.2,657.55,0.5
hold,180,0.2,1.5,3,0.5,5,0.3,900,2,1,0.32,-17.41,1,1,-17.41,0.16,2,1,267.94,-27.2,1,1,-27.2,133.97,-27.2,268.26,0.5
hold,180,0.2,1.5,3,0.5,5,0.3,1800,2,1,1.63,-17.41,1,1,-17.41,0.82,2,1,267.94,-27.2,1,1,-27.2,133.97,-27.2,269.57,0.5
hold,180,0.2,1.5,3,0.5,5,0.5,900,2,1,-8.65,-26.38,1,1,-26.38,-4.32,2,1,267.94,-27.2,1,1,-27.2,133.97,-27.2,259.29,0.5
hold,180,0.2,1.5,3,0.5,5,0.5,1800,2,1,-7.34,-26.38,1,1,-26.38,-3.67,2,1,267.94,-27.2,1,1,-27.2,133.97,-27.2,260.6,0.5
hold,180,0.2,1.5,5,0.4,0,0.3,900,5,4,336.98,194.93,4,1,-17.41,65.01,6,2,291.45,-119.01,2,4,-52.72,-16.28,-119.01,628.4300000000001,0.5454545454545454
hold,180,0.2,1.5,5,0.4,0,0.3,1800,5,4,853.85,197.25,4,1,-17.41,66.02,6,2,277.52,-74.86,2,4,-52.72,-14.29,-74.86,1131.37,0.5454545454545454
hold,180,0.2,1.5,5,0.4,0,0.5,900,5,4,328.01,185.96,4,1,-26.38,65.01,6,2,291.45,-119.01,2,4,-52.72,-16.28,-119.01,619.46,0.5454545454545454
hold,180,0.2,1.5,5,0.4,0,0.5,1800,5,4,844.88,188.28,4,1,-26.38,66.02,6,2,277.52,-74.86,2,4,-52.72,-14.29,-74.86,1122.4,0.5454545454545454
