mark,self_buy_floor,trail_pct,tp_mult,hard_stop_pct,time_stop_s,triggers,wins,pnl_usd,avg_usd,median_usd,worst_usd,hits_caught,hits_total,misses_entered,pnl_ex_best_usd
180,0.2,0.3,3,0.5,900,14,8,255.99,18.28,8.13,-26.38,12,18,2,148.54
180,0.2,0.3,3,0.5,1800,14,8,3530.56,252.18,10.15,-26.38,12,18,2,242.29
180,0.2,0.3,5,0.4,900,14,8,198.69,14.19,8.13,-25.99,12,18,2,115.35
180,0.2,0.3,5,0.4,1800,14,8,3464.61,247.47,10.15,-25.99,12,18,2,176.34
180,0.2,0.3,5,0.5,900,14,8,198.3,14.16,8.13,-26.38,12,18,2,114.96
180,0.2,0.3,5,0.5,1800,14,8,3464.22,247.44,10.15,-26.38,12,18,2,175.95
180,0.2,0.4,0,0.4,900,14,10,560.11,40.01,20.8,-25.99,12,18,2,418.06
180,0.2,0.4,0,0.4,1800,14,9,1154.45,82.46,20.34,-25.99,12,18,2,497.85
180,0.2,0.4,0,0.5,900,14,10,559.72,39.98,20.8,-26.38,12,18,2,417.67
180,0.2,0.4,0,0.5,1800,14,9,1154.06,82.43,20.34,-26.38,12,18,2,497.46
180,0.2,0.4,3,0.4,900,14,10,599.9,42.85,20.8,-25.99,12,18,2,429.49
180,0.2,0.4,3,0.4,1800,14,10,3905.2,278.94,35.58,-25.99,12,18,2,616.93
180,0.2,0.4,3,0.5,900,14,10,599.51,42.82,20.8,-26.38,12,18,2,429.1
180,0.2,0.4,3,0.5,1800,14,10,3904.81,278.91,35.58,-26.38,12,18,2,616.54
180,0.2,0.4,5,0.4,900,14,10,630.56,45.04,20.8,-25.99,12,18,2,430.51
180,0.2,0.4,5,0.4,1800,14,10,4041.17,288.66,29.82,-25.99,12,18,2,752.9
180,0.2,0.4,5,0.5,900,14,10,630.17,45.01,20.8,-26.38,12,18,2,430.12
180,0.2,0.4,5,0.5,1800,14,10,4040.78,288.63,29.82,-26.38,12,18,2,752.51
180,0.2,0.5,0,0.4,900,14,11,554.65,39.62,20.8,-25.99,12,18,2,412.6
180,0.2,0.5,0,0.4,1800,14,9,1137.2,81.23,23.33,-25.99,12,18,2,480.6
180,0.2,0.5,0,0.5,900,14,11,554.26,39.59,20.8,-26.38,12,18,2,412.21
180,0.2,0.5,0,0.5,1800,14,9,1136.81,81.2,23.33,-26.38,12,18,2,480.21
180,0.2,0.5,3,0.4,900,14,11,619.46,44.25,20.8,-25.99,12,18,2,449.05
180,0.2,0.5,3,0.4,1800,14,10,3923.36,280.24,45.28,-25.99,12,18,2,635.09
180,0.2,0.5,3,0.5,900,14,11,619.07,44.22,20.8,-26.38,12,18,2,448.66
180,0.2,0.5,3,0.5,1800,14,10,3922.97,280.21,45.28,-26.38,12,18,2,634.7
180,0.2,0.5,5,0.4,900,14,11,650.12,46.44,20.8,-25.99,12,18,2,450.07
180,0.2,0.5,5,0.4,1800,14,10,4048.94,289.21,34.34,-25.99,12,18,2,760.67
180,0.2,0.5,5,0.5,900,14,11,649.73,46.41,20.8,-26.38,12,18,2,449.68
